;date;India;Japan;Hungary;Germany;US
676;2021-11-28;34580832;1726479;1068888;5761696;48280629
677;2021-11-29;34587822;1726555;1096718;5791060;48466921
678;2021-11-30;34596776;1726636;1103108;5836813;48584027
679;2021-12-01;34606541;1726751;1114260;5903999;48721141
680;2021-12-02;34615757;1726864;1124726;5977208;48859993
681;2021-12-03;34624360;1727005;1134869;6051560;49018605
682;2021-12-04;34624360;1727125;1134869;6116070;49084946
683;2021-12-05;34641561;1727229;1134869;6158125;49140130
684;2021-12-06;34648383;1727283;1157568;6185961;49317816
685;2021-12-07;34656822;1727382;1161879;6222020;49431076
686;2021-12-08;34666241;1727504;1168728;6291621;49580988
687;2021-12-09;34674643;1727658;1176038;6362232;49705518
688;2021-12-10;34682633;1727794;1182922;6423520;49863728
689;2021-12-11;34690510;1727925;1182922;6477217;49920316
690;2021-12-12;34697860;1728023;1182922;6509863;49972625
691;2021-12-13;34703644;1728090;1198939;6531606;50158111
692;2021-12-14;34710628;1728218;1202514;6562429;50270931
693;2021-12-15;34718602;1728377;1208020;6613730;50416777
694;2021-12-16;34726049;1728540;1213318;6670407;50558508
695;2021-12-17;34726049;1728701;1218295;6721375;50751164
696;2021-12-18;34733194;1728880;1218295;6764188;50830924
697;2021-12-19;34746838;1729030;1218295;6793536;50920124
698;2021-12-20;34752164;1729139;1228400;6809622;51160166
699;2021-12-21;34758481;1729357;1230385;6833050;51339581
700;2021-12-22;34765976;1729577;1233744;6878709;51583323
701;2021-12-23;34772626;1729824;1237330;6923636;51853085
702;2021-12-24;34779815;1730084;1237330;6959067;52101608
703;2021-12-25;34786802;1730347;1237330;6981281;52188263
704;2021-12-26;34793333;1730572;1237330;6991381;52366649
705;2021-12-27;34799691;1730735;1245319;7005289;52867219
706;2021-12-28;34808886;1731048;1246689;7026369;53229255
707;2021-12-29;34822040;1731446;1249694;7066412;53731367
708;2021-12-30;34838804;1731878;1253055;7109182;54322064
709;2021-12-31;34861579;1732296;1256415;7150422;54835685
710;2022-01-01;34889132;1732752;1256415;7176814;55024448
711;2022-01-02;34922882;1733229;1256415;7189329;55310405
712;2022-01-03;34960261;1733901;1262280;7207847;56355361
713;2022-01-04;35018358;1735050;1264709;7238408;57167584
714;2022-01-05;35109286;1737540;1269979;7297320;57830190
715;2022-01-06;35226386;1741837;1276433;7361660;58665223
716;2022-01-07;35368372;1747907;1282957;7417995;59534979
717;2022-01-08;35528004;1756209;1282957;7473884;59932672
718;2022-01-09;35707727;1764280;1282957;7510436;60417703
719;2022-01-10;35875790;1770545;1297612;7535691;61801616
720;2022-01-11;36070510;1776780;1300994;7581381;62589010
721;2022-01-12;36317927;1789824;1308877;7661811;63437652
722;2022-01-13;36582129;1808501;1318093;7743228;64298999
723;2022-01-14;36850962;1830381;1327014;7835451;65179067
724;2022-01-15;37122164;1856002;1327014;7913473;65587392
725;2022-01-16;37380253;1881481;1327014;7965977;66067198
726;2022-01-17;37618271;1902304;1348233;8000122;66742339
727;2022-01-18;37901241;1934391;1355084;8074527;67871860
728;2022-01-19;38218773;1975761;1369974;8186850;68779993
729;2022-01-20;38566027;2021758;1385500;8320386;69512599
730;2022-01-21;38903731;2071471;1401457;8460546;70353700
731;2022-01-22;39237264;2125882;1401457;8596007;70656216
732;2022-01-23;39543328;2175719;1401457;8681447;71021670
733;2022-01-24;39799202;2220382;1441385;8744840;71943834
734;2022-01-25;40085116;2282871;1451102;8871795;72436931
735;2022-01-26;40371500;2354358;1471276;9035795;73061000
736;2022-01-27;40622709;2433094;1490489;9238931;73567263
737;2022-01-28;40858241;2514804;1508358;9429079;74181343
738;2022-01-29;41092522;2599599;1508358;9618245;74359970
739;2022-01-30;41302440;2677602;1508358;9737215;74557934
740;2022-01-31;41469499;2738460;1553405;9815533;75100179
741;2022-02-01;41630885;2820053;1562827;9978146;75425593
742;2022-02-02;41803318;2914824;1582517;10186644;75755134
743;2022-02-03;41952712;3019169;1600411;10422764;76029946
744;2022-02-04;42080664;3117346;1616846;10671602;76384918
745;2022-02-05;42188138;3219621;1616846;10889417;76471349
746;2022-02-06;42272014;3309439;1616846;11022590;76554826
747;2022-02-07;42339611;3377378;1650562;11117857;76901267
748;2022-02-08;42410976;3478462;1657615;11287428;77115639
749;2022-02-09;42478060;3576261;1671547;11521678;77304046
750;2022-02-10;42536137;3675865;1684432;11769540;77475459
751;2022-02-11;42586544;3774164;1695991;12009712;77684778
752;2022-02-12;42631421;3842551;1695991;12219501;77736645
753;2022-02-13;42665534;3919931;1695991;12344661;77794966
754;2022-02-14;42692943;3979984;1717072;12421126;77965147
755;2022-02-15;42723558;4064142;1721483;12580343;78076319
756;2022-02-16;42754315;4155027;1730366;12800315;78191136
757;2022-02-17;42780235;4250142;1738944;13035941;78292827
758;2022-02-18;42802505;4337780;1746424;13255989;78437997
759;2022-02-19;42822473;4419254;1746424;13445094;78469403
760;2022-02-20;42838524;4490748;1746424;13563126;78492408
761;2022-02-21;42851929;4542657;1759685;13636993;78575298
762;2022-02-22;42867031;4612104;1762878;13762895;78664633
763;2022-02-23;42881179;4692406;1769164;13971947;78749771
764;2022-02-24;42894345;4753558;1774676;14188269;78816843
765;2022-02-25;42905844;4819151;1779174;14399012;78891215
766;2022-02-26;42916117;4891242;1779174;14574845;78938627
767;2022-02-27;42924130;4954865;1779174;14682758;78956847
768;2022-02-28;42931045;5005881;1787544;14745107;79055765
769;2022-03-01;42938599;5071249;1789581;14867218;79102472
770;2022-03-02;42945160;5143818;1793120;15053624;79155873
771;2022-03-03;42951556;5214086;1796982;15264297;79204481
772;2022-03-04;42957477;5277655;1800046;15481890;79255738
773;2022-03-05;42962953;5341246;1800046;15674100;79270657
774;2022-03-06;42967315;5395143;1800046;15790989;79283051
775;2022-03-07;42971308;5432145;1805898;15869417;79347132
776;2022-03-08;42975883;5486083;1807285;16026216;79376887
777;2022-03-09;42980067;5549755;1809917;16242070;79414588
778;2022-03-10;42984261;5610818;1812294;16504822;79461166
779;2022-03-11;42987875;5666630;1814362;16757658;79510871
780;2022-03-12;42990991;5721856;1814362;16994744;79521089
781;2022-03-13;42993494;5772715;1814362;17141351;79532139
782;2022-03-14;42996062;5805074;1814362;17233729;79567523
783;2022-03-15;42998938;5855769;1814362;17432617;79591898
784;2022-03-16;43001477;5913591;1819264;17695210;79638027
785;2022-03-17;43004005;5967069;1820767;17990141;79691199
786;2022-03-18;43006080;6016178;1824089;18287986;79722557
787;2022-03-19;43007841;6060771;1824089;18548225;79733436
788;2022-03-20;43009390;6100331;1824089;18680017;79744887
789;2022-03-21;43010971;6127897;1829928;18772331;79787156
790;2022-03-22;43012749;6148049;1831423;18994411;79811718
791;2022-03-23;43014687;6188977;1834268;19278143;79852729
792;2022-03-24;43016372;6238527;1836919;19596530;79895723
793;2022-03-25;43018032;6285894;1839358;19893028;79942159
794;2022-03-26;43019453;6333118;1839358;20145054;79951593
795;2022-03-27;43020723;6376338;1839358;20256278;79963383
796;2022-03-28;43021982;6406058;1844581;20323779;80002353
797;2022-03-29;43023215;6450423;1846311;20561131;80026534
798;2022-03-30;43024440;6504032;1849217;20829608;80065716
799;2022-03-31;43025775;6555585;1851871;21357095;80111350
800;2022-04-01;43027035;6604726;1854198;21357039;80143568
801;2022-04-02;43028131;6653421;1854198;21553495;80155375
802;2022-04-03;43029044;6700637;1854198;21668677;80160130
803;2022-04-04;43029839;6730654;1854198;21668677;80189034
804;2022-04-05;43030925;6776236;1860159;21849074;80214637
805;2022-04-06;43031958;6830997;1863039;22265788;80255584
806;2022-04-07;43033067;6885876;1865607;22441051;80306222
807;2022-04-08;43034217;6937720;1868007;22591726;80381248
808;2022-04-09;43035271;6990349;1868007;22647197;80393960
809;2022-04-10;43036132;7039397;1868007;22677986;80403492
810;2022-04-11;43036928;7072493;1872664;22878428;80443833
811;2022-04-12;43038016;7122173;1874206;23017079;80479577
812;2022-04-13;43039023;7179839;1876946;23182447;80534967
813;2022-04-14;43039972;7235040;1879480;23339311;80585631
814;2022-04-15;43040947;7284737;1879480;23376879;80621069
815;2022-04-16;43042097;7332261;1879480;23416663;80633405
816;2022-04-17;43044280;7371466;1879480;23437145;80640908
817;2022-04-18;43045527;7395608;1879480;23459628;80702296
818;2022-04-19;43047594;7436434;1884458;23658211;80741558
819;2022-04-20;43049974;7484263;1885865;23844536;80810497
820;2022-04-21;43052425;7531317;1888906;24006254;80872193
821;2022-04-22;43054952;7574215;1890953;24141333;80962245
822;2022-04-23;43057545;7618107;1890953;24180512;80981977
823;2022-04-24;43060086;7656600;1890953;24200596;80995465
824;2022-04-25;43060097;7681363;1894278;24337394;81065669
825;2022-04-26;43065496;7721795;1895677;24337394;81111019
826;2022-04-27;43068799;7767997;1897897;24609159;81201034
827;2022-04-28;43072176;7809668;1899633;24710769;81278389
828;2022-04-29;43075864;7846274;1901017;24798067;81339578
829;2022-04-30;43079188;7871253;1901017;24809785;81363558
830;2022-05-01;43082345;7898133;1901017;24813817;81380258
831;2022-05-02;43084913;7917391;1903200;24927339;81474963
832;2022-05-03;43088118;7947818;1903200;25033970;81524549
833;2022-05-04;43091393;7974232;1903200;25130137;81636574
834;2022-05-05;43094938;7994944;1903200;25215210;81725122
835;2022-05-06;43098743;8016485;1903200;25287462;81853878
836;2022-05-07;43102194;8055713;1903200;25295950;81881696
837;2022-05-08;43105401;8098119;1903200;25299300;81887457
838;2022-05-09;43107689;8126472;1903200;25406868;82017464
839;2022-05-10;43110586;8168462;1903200;25503878;82087703
840;2022-05-11;43113413;8214311;1909948;25592839;82247881
841;2022-05-12;43116254;8255959;1909948;25661838;82361856
842;2022-05-13;43119112;8295529;1909948;25723697;82449226
843;2022-05-14;43121599;8334859;1909948;25729848;82466269
844;2022-05-15;43123801;8369751;1909948;25732153;82498369
845;2022-05-16;43125370;8391424;1909948;25818405;82677072
846;2022-05-17;43127199;8428219;1909948;25890456;82761646
847;2022-05-18;43129563;8470287;1914697;25949175;82965394
848;2022-05-19;43131822;8509857;1914697;25998085;83100539
849;2022-05-20;43134145;8547200;1914697;26040460;83249567
850;2022-05-21;43136371;8583048;1914697;26044283;83276477
851;2022-05-22;43138393;8614387;1914697;26045528;83296032
852;2022-05-23;43140068;8632778;1914697;26109965;83438446
853;2022-05-24;43142192;8665068;1914697;26159106;83521391
854;2022-05-25;43144820;8700168;1917777;26198811;83731365
855;2022-05-26;43147530;8731080;1917777;26200663;83876716
856;2022-05-27;43150215;8758532;1917777;26240639;83984555
857;2022-05-28;43153043;8784188;1917777;26243352;83997048
858;2022-05-29;43155749;8804886;1917777;26244107;84001587
859;2022-05-30;43158087;8816943;1917777;26305996;84061301
860;2022-05-31;43160832;8838747;1917777;26360953;84228228
861;2022-06-01;43164544;8861405;1919840;26409455;84451901
862;2022-06-02;43168585;8881491;1919840;26452148;84570325
863;2022-06-03;43172547;8900748;1919840;26493235;84724329
864;2022-06-04;43176817;8918984;1919840;26493235;84748884
865;2022-06-05;43181335;8934078;1919840;26496611;84762022
866;2022-06-06;43185049;8943156;1919840;26498361;84882287
867;2022-06-07;43190282;8960177;1919840;26583016;85003945
868;2022-06-08;43197522;8978571;1921486;26660652;85214036
869;2022-06-09;43205106;8995359;1921486;26738530;85329656
870;2022-06-10;43213435;9010943;1921486;26803867;85468816
871;2022-06-11;43222017;9026281;1921486;26803867;85500976
